method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 20 0.7 1 500 21.018 3.866 14.475 20
min_pca 1 0.7 1 500 310.12 700.027 3 10
min_pca 2 0.7 1 500 10.74 10.447 3 7
min_pca 3 0.7 1 500 14.906 10.891 5 12
min_pca 5 0.7 1 500 19.076 9.542 8 17
min_pca 10 0.7 1 500 22.654 7.264 12 21
min_pca 20 0.7 1 500 22.886 4.85 15 22
tpca 0.8 0.7 1 500 21.162 7.018 11 20
tpca 0.9 0.7 1 500 23.11 5.676 14 22
tpca 0.95 0.7 1 500 22.75 4.983 15 22
tpca 0.99 0.7 1 500 22.75 4.983 15 22
tpca 0.995 0.7 1 500 22.75 4.983 15 22
tpca 0.999 0.7 1 500 22.75 4.983 15 22
mix 0.03 0.7 1 500 3.908 0.576 3 4
mix 0.1 0.7 1 500 3.49 0.531 3 3
mix 0.3 0.7 1 500 3.264 0.468 3 3
mix 1 0.7 1 500 3.142 0.432 2 3
max_pca 1 0.7 1.3 500 254.448 573.632 13.475 52
max_pca 2 0.7 1.3 500 70.266 215.254 14.475 37
max_pca 3 0.7 1.3 500 44.15 23.894 17 36
max_pca 5 0.7 1.3 500 36.056 13.992 17 32
max_pca 10 0.7 1.3 500 23.964 6.373 15 23
max_pca 20 0.7 1.3 500 14.86 2.89 10 14
min_pca 1 0.7 1.3 500 216.726 595.822 2 7
min_pca 2 0.7 1.3 500 6.44 4.706 3 5
min_pca 3 0.7 1.3 500 9.354 5.921 4 8
min_pca 5 0.7 1.3 500 12.432 6.012 5 11
min_pca 10 0.7 1.3 500 15.17 5.228 8 14
min_pca 20 0.7 1.3 500 15.124 3.446 10 14
tpca 0.8 0.7 1.3 500 13.914 4.985 7 13
tpca 0.9 0.7 1.3 500 15.42 3.93 9.475 15
tpca 0.95 0.7 1.3 500 14.974 3.395 10 14
tpca 0.99 0.7 1.3 500 14.974 3.395 10 14
tpca 0.995 0.7 1.3 500 14.974 3.395 10 14
tpca 0.999 0.7 1.3 500 14.974 3.395 10 14
mix 0.03 0.7 1.3 500 2.998 0.257 2 3
mix 0.1 0.7 1.3 500 2.838 0.369 2 3
mix 0.3 0.7 1.3 500 2.616 0.487 2 3
mix 1 0.7 1.3 500 2.41 0.492 2 2
max_pca 1 0.5 0.5 500 1451.686 834.278 82.95 2000
max_pca 2 0.5 0.5 500 841.186 894.099 72.9 183.05
max_pca 3 0.5 0.5 500 259.562 472.593 63 131
max_pca 5 0.5 0.5 500 91.532 21.027 55 88
max_pca 10 0.5 0.5 500 69.382 11.884 49 68
max_pca 20 0.5 0.5 500 49.546 7.851 35 49
min_pca 1 0.5 0.5 500 566.24 860.551 7 51
min_pca 2 0.5 0.5 500 163.536 465.823 11 35
min_pca 3 0.5 0.5 500 99.012 287.46 16 46
min_pca 5 0.5 0.5 500 69.206 91.378 26 58
min_pca 10 0.5 0.5 500 69.444 19.54 39.475 66
min_pca 20 0.5 0.5 500 71.728 13.259 48 70
tpca 0.8 0.5 0.5 500 68.124 21.081 36 64
tpca 0.9 0.5 0.5 500 68.462 14.038 44 67
