method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
min_pca 2 0.9 1.5 500 43.598 12.614 23 41
min_pca 3 0.9 1.5 500 35.346 7.983 21 34
min_pca 5 0.9 1.5 500 32.3 5.449 22 32
min_pca 10 0.9 1.5 500 28.836 3.818 21.475 29
min_pca 20 0.9 1.5 500 26.858 2.716 22 27
tpca 0.8 0.9 1.5 500 43.598 12.614 23 41
tpca 0.9 0.9 1.5 500 28.996 4.413 21 29
tpca 0.95 0.9 1.5 500 27.034 3.178 21 27
tpca 0.99 0.9 1.5 500 26.326 2.874 21 26
tpca 0.995 0.9 1.5 500 26.326 2.874 21 26
tpca 0.999 0.9 1.5 500 26.326 2.874 21 26
mix 0.03 0.9 1.5 500 5.274 1.132 3 5
mix 0.1 0.9 1.5 500 4.816 1.032 3 5
mix 0.3 0.9 1.5 500 4.612 1.018 3 4
mix 1 0.9 1.5 500 4.542 0.991 3 4
max_pca 1 0.9 2 500 118.168 299.359 16.475 59.025
max_pca 2 0.9 2 500 91.89 195.829 22.475 63
max_pca 3 0.9 2 500 128.436 295.91 30 74
max_pca 5 0.9 2 500 141.048 281.179 43.475 94.025
max_pca 10 0.9 2 500 72.948 18.376 40.475 71.025
max_pca 20 0.9 2 500 35.064 6.842 22 35
min_pca 1 0.9 2 500 19.368 9.866 6 17
min_pca 2 0.9 2 500 17.002 6.154 7 16
min_pca 3 0.9 2 500 15.318 4.41 8 15
min_pca 5 0.9 2 500 14.526 3.096 9 14
min_pca 10 0.9 2 500 13.346 2.078 9.475 13
min_pca 20 0.9 2 500 12.344 1.44 10 12
tpca 0.8 0.9 2 500 17.002 6.154 7 16
tpca 0.9 0.9 2 500 13.234 2.411 9 13
tpca 0.95 0.9 2 500 12.232 1.702 9 12
tpca 0.99 0.9 2 500 11.844 1.564 9 12
tpca 0.995 0.9 2 500 11.844 1.564 9 12
tpca 0.999 0.9 2 500 11.844 1.564 9 12
mix 0.03 0.9 2 500 2.48 0.5 2 2
mix 0.1 0.9 2 500 2.302 0.46 2 2
mix 0.3 0.9 2 500 2.218 0.413 2 2
mix 1 0.9 2 500 2.192 0.394 2 2
max_pca 1 0.7 0.5 500 125.644 309.526 29 63
max_pca 2 0.7 0.5 500 52.12 89.319 24 44
max_pca 3 0.7 0.5 500 37.218 9.408 23 36
max_pca 5 0.7 0.5 500 28.924 5.152 20 28
max_pca 10 0.7 0.5 500 22.892 2.903 18 23
max_pca 20 0.7 0.5 500 16.81 1.879 13 17
min_pca 1 0.7 0.5 500 1126.122 944.49 40 2000
min_pca 2 0.7 0.5 500 1754.358 630.711 109.425 2000
min_pca 3 0.7 0.5 500 1985.334 163.485 2000 2000
min_pca 5 0.7 0.5 500 2000 0 2000 2000
min_pca 10 0.7 0.5 500 2000 0 2000 2000
