method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
min_pca 10 0.02 0.7 500 2.956 1.043 2 3
min_pca 20 0.02 0.7 500 4.132 1.425 2 4
min_pca 40 0.02 0.7 500 5.662 2.781 3 5
tpca 0.8 0.02 0.7 500 18.414 5.336 10 18
tpca 0.9 0.02 0.7 500 8.496 3.972 3 8
tpca 0.95 0.02 0.7 500 5.938 3.166 3 5
tpca 0.99 0.02 0.7 500 5.938 3.166 3 5
tpca 0.995 0.02 0.7 500 5.938 3.166 3 5
tpca 0.999 0.02 0.7 500 5.938 3.166 3 5
mix 0.03 0.02 0.7 500 24.9 6.257 12.475 24
mix 0.1 0.02 0.7 500 27.94 8.198 12.475 27
mix 0.3 0.02 0.7 500 33.06 10.611 11.95 32.025
mix 1 0.02 0.7 500 39.016 13.827 14 38
max_pca 1 0.02 1 500 704.618 731.864 79.475 279.05
max_pca 2 0.02 1 500 232.002 278.113 66.95 159
max_pca 3 0.02 1 500 150.564 76.101 65 137
max_pca 5 0.02 1 500 117.946 29.332 66 113
max_pca 10 0.02 1 500 95.6 19.482 61 93
max_pca 20 0.02 1 500 81.144 13.036 57 80
max_pca 40 0.02 1 500 71.78 9.641 53.475 71
min_pca 1 0.02 1 500 18.384 155.567 2 2
min_pca 2 0.02 1 500 2.776 5.27 2 2
min_pca 3 0.02 1 500 2.384 2.868 2 2
min_pca 5 0.02 1 500 2.224 0.896 2 2
min_pca 10 0.02 1 500 2.342 0.662 2 2
min_pca 20 0.02 1 500 3.004 0.922 2 3
min_pca 40 0.02 1 500 3.964 1.658 2 3
tpca 0.8 0.02 1 500 10.902 3.138 6 10
tpca 0.9 0.02 1 500 5.466 2.181 2 5
tpca 0.95 0.02 1 500 4.158 1.934 2 3
tpca 0.99 0.02 1 500 4.158 1.934 2 3
tpca 0.995 0.02 1 500 4.158 1.934 2 3
tpca 0.999 0.02 1 500 4.158 1.934 2 3
mix 0.03 0.02 1 500 13.344 3.008 8 13
mix 0.1 0.02 1 500 15.038 3.712 8 15
mix 0.3 0.02 1 500 17.61 4.779 9 17
mix 1 0.02 1 500 20.63 6.462 8.475 20
max_pca 1 0.005 0.5 500 770.512 764.055 86.95 319.05
max_pca 2 0.005 0.5 500 238.686 287.841 76 166
max_pca 3 0.005 0.5 500 167.912 142.93 72.95 141.025
max_pca 5 0.005 0.5 500 121.55 32.317 69.475 117
max_pca 10 0.005 0.5 500 100.192 20.366 63.475 99
max_pca 20 0.005 0.5 500 84.092 14.205 58.475 82
max_pca 40 0.005 0.5 500 76.85 11.016 58 76
min_pca 1 0.005 0.5 500 92.488 371.041 2 5
min_pca 2 0.005 0.5 500 13.868 90.425 2 5
min_pca 3 0.005 0.5 500 8.292 9.245 2 5
min_pca 5 0.005 0.5 500 9.554 7.984 3 7
min_pca 10 0.005 0.5 500 13.102 7.414 4 11
min_pca 20 0.005 0.5 500 20.298 9.565 7 18
min_pca 40 0.005 0.5 500 29.12 14.632 7 27
tpca 0.8 0.005 0.5 500 68.694 10.366 49.475 67
tpca 0.9 0.005 0.5 500 41.934 15.336 12 43
tpca 0.95 0.005 0.5 500 30.804 16.067 7 27
tpca 0.99 0.005 0.5 500 30.804 16.067 7 27
tpca 0.995 0.005 0.5 500 30.804 16.067 7 27
tpca 0.999 0.005 0.5 500 30.804 16.067 7 27
mix 0.03 0.005 0.5 500 236.92 284.089 40 162
mix 0.1 0.005 0.5 500 335.002 369.593 27.425 201
mix 0.3 0.005 0.5 500 435.698 456.913 24.425 250.025
mix 1 0.005 0.5 500 410.754 413.03 21.95 257.025
max_pca 1 0.005 0.7 500 786.57 765.653 98.375 336.15
max_pca 2 0.005 0.7 500 222.306 248.247 80.475 164
max_pca 3 0.005 0.7 500 162.02 113.893 79 145
max_pca 5 0.005 0.7 500 124.02 32.599 70 119.025
max_pca 10 0.005 0.7 500 100.368 20.273 62 98
max_pca 20 0.005 0.7 500 84.342 13.633 58 84
max_pca 40 0.005 0.7 500 76.616 11.062 56 76
min_pca 1 0.005 0.7 500 55.872 293.065 2 3
min_pca 2 0.005 0.7 500 10.752 90.105 2 3
min_pca 3 0.005 0.7 500 5.836 8.263 2 3
min_pca 5 0.005 0.7 500 6.066 5.652 2 4
min_pca 10 0.005 0.7 500 8.084 5.244 3 6
min_pca 20 0.005 0.7 500 12.304 6.503 4 11
min_pca 40 0.005 0.7 500 17.746 10.91 4 15
tpca 0.8 0.005 0.7 500 52.642 10.082 34 52
tpca 0.9 0.005 0.7 500 29.086 12.051 7 29
tpca 0.95 0.005 0.7 500 18.784 12.145 4 15
tpca 0.99 0.005 0.7 500 18.784 12.145 4 15
tpca 0.995 0.005 0.7 500 18.784 12.145 4 15
tpca 0.999 0.005 0.7 500 18.784 12.145 4 15
mix 0.03 0.005 0.7 500 80.724 30.304 27 78
mix 0.1 0.005 0.7 500 108.95 53.992 25.475 102
mix 0.3 0.005 0.7 500 161.022 129.744 26 138
mix 1 0.005 0.7 500 223.916 232.593 24.475 160
max_pca 1 0.005 1 500 723.452 743.588 86 287.025
max_pca 2 0.005 1 500 217.402 231.939 79.475 166
max_pca 3 0.005 1 500 156.162 102.645 75 142
max_pca 5 0.005 1 500 120.11 30.858 64 117
max_pca 10 0.005 1 500 100.166 20.333 65 98
max_pca 20 0.005 1 500 84.178 14.303 58 83
max_pca 40 0.005 1 500 76.392 11.185 56 76
min_pca 1 0.005 1 500 38.052 235.481 2 2
min_pca 2 0.005 1 500 4.692 12.382 2 2
min_pca 3 0.005 1 500 3.458 3.168 2 3
min_pca 5 0.005 1 500 3.722 2.352 2 3
min_pca 10 0.005 1 500 4.908 2.56 2 4
min_pca 20 0.005 1 500 7.39 3.648 3 6
min_pca 40 0.005 1 500 10.71 6.376 3 9
tpca 0.8 0.005 1 500 34.224 8.533 20 33
tpca 0.9 0.005 1 500 17.032 8.269 4.475 16
tpca 0.95 0.005 1 500 11.38 7.242 3 9
tpca 0.99 0.005 1 500 11.38 7.242 3 9
tpca 0.995 0.005 1 500 11.38 7.242 3 9
tpca 0.999 0.005 1 500 11.38 7.242 3 9
mix 0.03 0.005 1 500 40.934 13.076 17.475 40
