method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
tpca 0.999 0.7 0.25 500 2.042 0.201 2 2
mix 0.03 0.7 0.5 500 1955.844 221.592 1113.8 2000
mix 0.1 0.7 0.5 500 1956.434 231.745 1285.875 2000
mix 0.3 0.7 0.5 500 1948.944 261.009 930.775 2000
mix 1 0.7 0.5 500 1951.844 253.276 954.05 2000
max_pca 1 0.7 0.5 500 482.448 673.624 67.95 172
max_pca 2 0.7 0.5 500 109.27 39.262 51.475 103
max_pca 3 0.7 0.5 500 90.154 25.458 47.475 88
max_pca 5 0.7 0.5 500 71.144 17.358 40 69
max_pca 10 0.7 0.5 500 56.882 11.956 35 56
max_pca 20 0.7 0.5 500 45.82 8.832 28.475 45
min_pca 1 0.7 0.5 500 2.018 0.133 2 2
min_pca 2 0.7 0.5 500 2.01 0.1 2 2
min_pca 3 0.7 0.5 500 2.008 0.089 2 2
min_pca 5 0.7 0.5 500 2.016 0.126 2 2
min_pca 10 0.7 0.5 500 2.112 0.316 2 2
min_pca 20 0.7 0.5 500 2.968 0.464 2 3
tpca 0.8 0.7 0.5 500 2.018 0.133 2 2
tpca 0.9 0.7 0.5 500 2.018 0.133 2 2
tpca 0.95 0.7 0.5 500 2.018 0.133 2 2
tpca 0.99 0.7 0.5 500 2.014 0.118 2 2
tpca 0.995 0.7 0.5 500 2.044 0.205 2 2
tpca 0.999 0.7 0.5 500 2.094 0.299 2 2
mix 0.03 0.7 0.75 500 1932.514 281.165 903 2000
mix 0.1 0.7 0.75 500 1915.97 315.385 637.425 2000
mix 0.3 0.7 0.75 500 1913.77 310.11 771.175 2000
mix 1 0.7 0.75 500 1917.726 315.681 705.225 2000
max_pca 1 0.7 0.75 500 1832.352 512.967 147.95 2000
max_pca 2 0.7 0.75 500 1323.946 869.497 99.75 2000
max_pca 3 0.7 0.75 500 1027.428 908.135 86.9 263.3
max_pca 5 0.7 0.75 500 425.846 648.775 81.9 158
max_pca 10 0.7 0.75 500 115.848 89.037 65 109
max_pca 20 0.7 0.75 500 72.964 14.989 48 71
min_pca 1 0.7 0.75 500 2.05 0.244 2 2
min_pca 2 0.7 0.75 500 2.024 0.153 2 2
min_pca 3 0.7 0.75 500 2.034 0.181 2 2
min_pca 5 0.7 0.75 500 2.07 0.263 2 2
min_pca 10 0.7 0.75 500 2.44 0.558 2 2
min_pca 20 0.7 0.75 500 3.688 0.715 3 4
tpca 0.8 0.7 0.75 500 2.05 0.244 2 2
tpca 0.9 0.7 0.75 500 2.05 0.244 2 2
tpca 0.95 0.7 0.75 500 2.05 0.244 2 2
tpca 0.99 0.7 0.75 500 2.056 0.23 2 2
tpca 0.995 0.7 0.75 500 2.108 0.336 2 2
tpca 0.999 0.7 0.75 500 2.296 0.503 2 2
mix 0.03 0.5 0 500 1978.988 172.988 2000 2000
mix 0.1 0.5 0 500 1976.618 180.966 2000 2000
mix 0.3 0.5 0 500 1973.684 192.888 2000 2000
mix 1 0.5 0 500 1988.588 123.314 2000 2000
max_pca 1 0.5 0 500 45.382 12.671 24.475 44
max_pca 2 0.5 0 500 30.218 7.001 16.475 30
max_pca 3 0.5 0 500 25.66 5.602 16 25
max_pca 5 0.5 0 500 22.398 4.375 15 22
max_pca 10 0.5 0 500 20.282 3.509 14 20
max_pca 20 0.5 0 500 19.732 3.2 14 19
min_pca 1 0.5 0 500 2.012 0.109 2 2
min_pca 2 0.5 0 500 2 0 2 2
min_pca 3 0.5 0 500 2 0 2 2
min_pca 5 0.5 0 500 2 0 2 2
min_pca 10 0.5 0 500 2.014 0.118 2 2
min_pca 20 0.5 0 500 2.372 0.496 2 2
tpca 0.8 0.5 0 500 2.012 0.109 2 2
tpca 0.9 0.5 0 500 2.012 0.109 2 2
tpca 0.95 0.5 0 500 2.012 0.109 2 2
tpca 0.99 0.5 0 500 2.002 0.045 2 2
tpca 0.995 0.5 0 500 2.006 0.077 2 2
tpca 0.999 0.5 0 500 2.02 0.14 2 2
mix 0.03 0.5 0.25 500 1974.402 192.519 2000 2000
mix 0.1 0.5 0.25 500 1961.106 237.291 1413.825 2000
mix 0.3 0.5 0.25 500 1976.572 179.965 2000 2000
mix 1 0.5 0.25 500 1980.406 160.071 2000 2000
max_pca 1 0.5 0.25 500 85.652 28.33 39.475 81
max_pca 2 0.5 0.25 500 54.264 14.57 28 53
max_pca 3 0.5 0.25 500 45.648 11.182 26 44
max_pca 5 0.5 0.25 500 38.238 8.565 23 38
max_pca 10 0.5 0.25 500 33.166 6.241 22 33
max_pca 20 0.5 0.25 500 29.354 5.114 20 29
min_pca 1 0.5 0.25 500 2.018 0.147 2 2
min_pca 2 0.5 0.25 500 2.006 0.077 2 2
min_pca 3 0.5 0.25 500 2.004 0.063 2 2
min_pca 5 0.5 0.25 500 2.002 0.045 2 2
min_pca 10 0.5 0.25 500 2.044 0.205 2 2
min_pca 20 0.5 0.25 500 2.606 0.525 2 3
tpca 0.8 0.5 0.25 500 2.018 0.147 2 2
tpca 0.9 0.5 0.25 500 2.018 0.147 2 2
tpca 0.95 0.5 0.25 500 2.018 0.147 2 2
tpca 0.99 0.5 0.25 500 2.006 0.077 2 2
tpca 0.995 0.5 0.25 500 2.018 0.133 2 2
tpca 0.999 0.5 0.25 500 2.038 0.191 2 2
mix 0.03 0.5 0.5 500 1961.332 235.43 1515.925 2000
mix 0.1 0.5 0.5 500 1962.014 222.579 1533.225 2000
mix 0.3 0.5 0.5 500 1966.006 206.575 1496.55 2000
mix 1 0.5 0.5 500 1959.906 232.244 1257.55 2000
max_pca 1 0.5 0.5 500 569.158 751.943 72 174
max_pca 2 0.5 0.5 500 113.588 97.057 51 101
max_pca 3 0.5 0.5 500 89.146 27.414 46 83
max_pca 5 0.5 0.5 500 71.562 19.498 39.475 68
max_pca 10 0.5 0.5 500 57.086 12.792 35 56
max_pca 20 0.5 0.5 500 46.528 9.089 30.475 45
min_pca 1 0.5 0.5 500 2.022 0.147 2 2
min_pca 2 0.5 0.5 500 2.012 0.109 2 2
min_pca 3 0.5 0.5 500 2.012 0.109 2 2
min_pca 5 0.5 0.5 500 2.014 0.118 2 2
min_pca 10 0.5 0.5 500 2.08 0.272 2 2
min_pca 20 0.5 0.5 500 2.96 0.472 2 3
tpca 0.8 0.5 0.5 500 2.022 0.147 2 2
tpca 0.9 0.5 0.5 500 2.022 0.147 2 2
tpca 0.95 0.5 0.5 500 2.022 0.147 2 2
tpca 0.99 0.5 0.5 500 2.012 0.109 2 2
tpca 0.995 0.5 0.5 500 2.03 0.171 2 2
tpca 0.999 0.5 0.5 500 2.082 0.282 2 2
mix 0.03 0.5 0.75 500 1941.27 272.921 940.2 2000
mix 0.1 0.5 0.75 500 1939.21 276.613 782.55 2000
mix 0.3 0.5 0.75 500 1923.7 299.508 732.3 2000
mix 1 0.5 0.75 500 1900.46 357.709 485.575 2000
max_pca 1 0.5 0.75 500 1800.468 552.913 153.475 2000
max_pca 2 0.5 0.75 500 1333.114 868.134 112.475 2000
max_pca 3 0.5 0.75 500 1092.192 908.02 94 342.1
max_pca 5 0.5 0.75 500 428.578 647.794 84.475 163
max_pca 10 0.5 0.75 500 125.442 148.138 58.475 112
max_pca 20 0.5 0.75 500 74.468 14.866 43.95 74
min_pca 1 0.5 0.75 500 2.056 0.247 2 2
min_pca 2 0.5 0.75 500 2.046 0.21 2 2
min_pca 3 0.5 0.75 500 2.052 0.222 2 2
min_pca 5 0.5 0.75 500 2.088 0.284 2 2
min_pca 10 0.5 0.75 500 2.462 0.556 2 2
min_pca 20 0.5 0.75 500 3.7 0.706 3 4
tpca 0.8 0.5 0.75 500 2.056 0.247 2 2
tpca 0.9 0.5 0.75 500 2.056 0.247 2 2
tpca 0.95 0.5 0.75 500 2.056 0.247 2 2
tpca 0.99 0.5 0.75 500 2.07 0.263 2 2
tpca 0.995 0.5 0.75 500 2.132 0.373 2 2
tpca 0.999 0.5 0.75 500 2.314 0.518 2 2
mix 0.03 0.3 0 500 1929.984 289.955 708.95 2000
mix 0.1 0.3 0 500 1904.428 339.879 607.825 2000
