method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 10 0.7 0.7 500 64.724 25.884 26.95 59
max_pca 20 0.7 0.7 500 50.758 16.054 28 47
min_pca 1 0.7 0.7 500 2.43 8.827 2 2
min_pca 2 0.7 0.7 500 2 0 2 2
min_pca 3 0.7 0.7 500 2.002 0.045 2 2
min_pca 5 0.7 0.7 500 2.002 0.045 2 2
min_pca 10 0.7 0.7 500 2.004 0.089 2 2
min_pca 20 0.7 0.7 500 2.026 0.193 2 2
tpca 0.8 0.7 0.7 500 2.002 0.045 2 2
tpca 0.9 0.7 0.7 500 2.002 0.045 2 2
tpca 0.95 0.7 0.7 500 2.004 0.089 2 2
tpca 0.99 0.7 0.7 500 2.004 0.089 2 2
tpca 0.995 0.7 0.7 500 2.004 0.089 2 2
tpca 0.999 0.7 0.7 500 2.006 0.1 2 2
mix 0.03 0.7 1 500 3.91 0.628 3 4
mix 0.1 0.7 1 500 3.464 0.515 3 3
mix 0.3 0.7 1 500 3.266 0.494 3 3
mix 1 0.7 1 500 3.134 0.474 2 3
max_pca 1 0.7 1 500 1442.148 848.148 62 2000
max_pca 2 0.7 1 500 601.002 824.851 40 128
max_pca 3 0.7 1 500 373.048 656.748 36.475 104
max_pca 5 0.7 1 500 107.384 230.023 27.475 69
max_pca 10 0.7 1 500 41.108 17.781 17 36.025
max_pca 20 0.7 1 500 26.66 8.073 15 25
min_pca 1 0.7 1 500 2.038 0.806 2 2
min_pca 2 0.7 1 500 2 0 2 2
min_pca 3 0.7 1 500 2 0 2 2
min_pca 5 0.7 1 500 2 0 2 2
min_pca 10 0.7 1 500 2 0 2 2
min_pca 20 0.7 1 500 2.004 0.063 2 2
tpca 0.8 0.7 1 500 2 0 2 2
tpca 0.9 0.7 1 500 2 0 2 2
tpca 0.95 0.7 1 500 2 0 2 2
tpca 0.99 0.7 1 500 2 0 2 2
tpca 0.995 0.7 1 500 2 0 2 2
tpca 0.999 0.7 1 500 2 0 2 2
mix 0.03 0.7 1.3 500 2.954 0.283 2 3
mix 0.1 0.7 1.3 500 2.79 0.413 2 3
mix 0.3 0.7 1.3 500 2.548 0.498 2 3
mix 1 0.7 1.3 500 2.372 0.484 2 2
max_pca 1 0.7 1.3 500 1205.578 919.592 38.475 2000
max_pca 2 0.7 1.3 500 378.052 678.654 23.95 90
max_pca 3 0.7 1.3 500 203.55 458.763 23 70.025
max_pca 5 0.7 1.3 500 65.518 127.841 20 46
max_pca 10 0.7 1.3 500 27.196 12.267 13 24
max_pca 20 0.7 1.3 500 16.584 4.581 9.475 16
min_pca 1 0.7 1.3 500 2.064 0.922 2 2
min_pca 2 0.7 1.3 500 2 0 2 2
min_pca 3 0.7 1.3 500 2 0 2 2
min_pca 5 0.7 1.3 500 2 0 2 2
min_pca 10 0.7 1.3 500 2 0 2 2
min_pca 20 0.7 1.3 500 2 0 2 2
tpca 0.8 0.7 1.3 500 2 0 2 2
