method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 10 0.7 1.3 500 20.188 7.354 10 18
max_pca 20 0.7 1.3 500 10.684 2.736 6 10
min_pca 1 0.7 1.3 500 18.694 178.194 2 2
min_pca 2 0.7 1.3 500 2.002 0.045 2 2
min_pca 3 0.7 1.3 500 2.002 0.045 2 2
min_pca 5 0.7 1.3 500 2.004 0.063 2 2
min_pca 10 0.7 1.3 500 2.018 0.147 2 2
min_pca 20 0.7 1.3 500 2.278 0.479 2 2
tpca 0.8 0.7 1.3 500 2.002 0.045 2 2
tpca 0.9 0.7 1.3 500 2.002 0.045 2 2
tpca 0.95 0.7 1.3 500 2.002 0.045 2 2
tpca 0.99 0.7 1.3 500 2.004 0.063 2 2
tpca 0.995 0.7 1.3 500 2.008 0.109 2 2
tpca 0.999 0.7 1.3 500 2.024 0.177 2 2
mix 0.03 0.5 0.5 500 12.662 2.841 7 12
mix 0.1 0.5 0.5 500 11.206 2.558 6.475 11
mix 0.3 0.5 0.5 500 10.526 2.518 6 10
mix 1 0.5 0.5 500 10.298 2.499 6 10
max_pca 1 0.5 0.5 500 1956.712 269.326 1578.95 2000
max_pca 2 0.5 0.5 500 1959.556 263.231 2000 2000
max_pca 3 0.5 0.5 500 1895.39 423.186 158 2000
max_pca 5 0.5 0.5 500 1458.432 836.885 100.85 2000
max_pca 10 0.5 0.5 500 178.226 335.46 57 111
max_pca 20 0.5 0.5 500 55.75 14.021 33 53
min_pca 1 0.5 0.5 500 33.24 234.985 2 2
min_pca 2 0.5 0.5 500 2.382 1.371 2 2
min_pca 3 0.5 0.5 500 2.544 1.696 2 2
min_pca 5 0.5 0.5 500 2.754 1.608 2 2
min_pca 10 0.5 0.5 500 4.044 2.384 2 3
min_pca 20 0.5 0.5 500 6.906 3.87 3 5
tpca 0.8 0.5 0.5 500 2.382 1.371 2 2
tpca 0.9 0.5 0.5 500 2.544 1.696 2 2
tpca 0.95 0.5 0.5 500 2.626 1.525 2 2
tpca 0.99 0.5 0.5 500 2.754 1.608 2 2
tpca 0.995 0.5 0.5 500 3.05 1.805 2 2
tpca 0.999 0.5 0.5 500 4.118 2.573 2 3
mix 0.03 0.5 0.7 500 7.298 1.459 4 7
mix 0.1 0.5 0.7 500 6.502 1.253 4 6
mix 0.3 0.5 0.7 500 6.118 1.218 4 6
mix 1 0.5 0.7 500 5.95 1.193 4 6
max_pca 1 0.5 0.7 500 1907.324 397.123 166.95 2000
max_pca 2 0.5 0.7 500 1795.936 575.961 119 2000
max_pca 3 0.5 0.7 500 1642.248 726.461 95.95 2000
max_pca 5 0.5 0.7 500 819.928 899.004 57.475 166
max_pca 10 0.5 0.7 500 83.006 125.133 33 67
max_pca 20 0.5 0.7 500 36.378 10.003 20 34.025
min_pca 1 0.5 0.7 500 49.15 293.345 2 2
min_pca 2 0.5 0.7 500 2.324 2.483 2 2
min_pca 3 0.5 0.7 500 2.286 2.026 2 2
min_pca 5 0.5 0.7 500 2.286 1.15 2 2
min_pca 10 0.5 0.7 500 2.848 1.459 2 2
min_pca 20 0.5 0.7 500 4.438 2.137 3 4
tpca 0.8 0.5 0.7 500 2.324 2.483 2 2
tpca 0.9 0.5 0.7 500 2.286 2.026 2 2
tpca 0.95 0.5 0.7 500 2.266 1.323 2 2
tpca 0.99 0.5 0.7 500 2.286 1.15 2 2
tpca 0.995 0.5 0.7 500 2.416 1.281 2 2
tpca 0.999 0.5 0.7 500 2.882 1.536 2 2
mix 0.03 0.5 1 500 4.49 0.644 3 4
mix 0.1 0.5 1 500 4.018 0.585 3 4
mix 0.3 0.5 1 500 3.786 0.587 3 4
mix 1 0.5 1 500 3.69 0.609 3 4
max_pca 1 0.5 1 500 1657.85 714.957 78.475 2000
max_pca 2 0.5 1 500 1372.786 880.865 60.475 2000
max_pca 3 0.5 1 500 1033.936 934.946 50.95 230.025
max_pca 5 0.5 1 500 316.158 612.38 32.95 89
max_pca 10 0.5 1 500 43.892 18.738 19 39
max_pca 20 0.5 1 500 21.358 6.124 12 20
min_pca 1 0.5 1 500 19.878 178.293 2 2
min_pca 2 0.5 1 500 2.048 0.412 2 2
min_pca 3 0.5 1 500 2.044 0.241 2 2
min_pca 5 0.5 1 500 2.058 0.266 2 2
min_pca 10 0.5 1 500 2.268 0.563 2 2
min_pca 20 0.5 1 500 3.204 0.961 2 3
tpca 0.8 0.5 1 500 2.048 0.412 2 2
tpca 0.9 0.5 1 500 2.044 0.241 2 2
tpca 0.95 0.5 1 500 2.044 0.241 2 2
tpca 0.99 0.5 1 500 2.058 0.266 2 2
tpca 0.995 0.5 1 500 2.09 0.355 2 2
tpca 0.999 0.5 1 500 2.292 0.623 2 2
mix 0.03 0.5 1.3 500 3.312 0.468 3 3
mix 0.1 0.5 1.3 500 3.076 0.356 2 3
mix 0.3 0.5 1.3 500 2.952 0.343 2 3
mix 1 0.5 1.3 500 2.878 0.389 2 3
max_pca 1 0.5 1.3 500 1277.568 910.358 36.95 2000
max_pca 2 0.5 1.3 500 867.052 927.291 35 158.05
max_pca 3 0.5 1.3 500 625.428 847.435 32 118.025
max_pca 5 0.5 1.3 500 143.498 381.315 20.475 55
max_pca 10 0.5 1.3 500 28.714 14.382 13 25
max_pca 20 0.5 1.3 500 14.468 3.927 8 14
min_pca 1 0.5 1.3 500 7.856 90.171 2 2
min_pca 2 0.5 1.3 500 2.062 0.894 2 2
min_pca 3 0.5 1.3 500 2.026 0.299 2 2
min_pca 5 0.5 1.3 500 2.022 0.214 2 2
min_pca 10 0.5 1.3 500 2.112 0.357 2 2
min_pca 20 0.5 1.3 500 2.57 0.714 2 2
tpca 0.8 0.5 1.3 500 2.062 0.894 2 2
tpca 0.9 0.5 1.3 500 2.026 0.299 2 2
tpca 0.95 0.5 1.3 500 2.02 0.199 2 2
tpca 0.99 0.5 1.3 500 2.022 0.214 2 2
tpca 0.995 0.5 1.3 500 2.038 0.254 2 2
tpca 0.999 0.5 1.3 500 2.122 0.389 2 2
mix 0.03 0.3 0.5 500 17.99 4.458 10 17
mix 0.1 0.3 0.5 500 16.582 4.198 9 16
mix 0.3 0.3 0.5 500 16.128 4.075 9 16
mix 1 0.3 0.5 500 16.41 4.224 9 16
max_pca 1 0.3 0.5 500 1953.494 271.942 938.4 2000
max_pca 2 0.3 0.5 500 1952.134 284.029 635.625 2000
max_pca 3 0.3 0.5 500 1949.136 300.073 246.825 2000
max_pca 5 0.3 0.5 500 1716.376 660.83 128 2000
max_pca 10 0.3 0.5 500 485.92 720.896 76 150
max_pca 20 0.3 0.5 500 73.198 18.58 42 71
min_pca 1 0.3 0.5 500 48.788 293.186 2 2
min_pca 2 0.3 0.5 500 7.026 89.433 2 2
min_pca 3 0.3 0.5 500 3.44 8.151 2 2
min_pca 5 0.3 0.5 500 3.386 3.359 2 2
min_pca 10 0.3 0.5 500 5.238 4.412 2 4
min_pca 20 0.3 0.5 500 9.404 6.513 4 7
tpca 0.8 0.3 0.5 500 7.026 89.433 2 2
tpca 0.9 0.3 0.5 500 3.44 8.151 2 2
tpca 0.95 0.3 0.5 500 3.392 6.159 2 2
tpca 0.99 0.3 0.5 500 3.386 3.359 2 2
tpca 0.995 0.3 0.5 500 3.898 3.929 2 3
tpca 0.999 0.3 0.5 500 5.352 4.669 2 4
mix 0.03 0.3 0.7 500 10.044 2.029 6 10
mix 0.1 0.3 0.7 500 9.278 1.935 6 9
mix 0.3 0.3 0.7 500 9.052 1.952 6 9
mix 1 0.3 0.7 500 9.132 2.001 6 9
max_pca 1 0.3 0.7 500 1942.544 310.345 324.3 2000
max_pca 2 0.3 0.7 500 1824.386 534.742 150.275 2000
max_pca 3 0.3 0.7 500 1709.922 670.781 105.475 2000
max_pca 5 0.3 0.7 500 1167.2 918.68 80 2000
max_pca 10 0.3 0.7 500 170.724 335.475 49 102.025
max_pca 20 0.3 0.7 500 51.526 13.774 30 50
min_pca 1 0.3 0.7 500 20.068 178.392 2 2
min_pca 2 0.3 0.7 500 6.532 89.375 2 2
min_pca 3 0.3 0.7 500 2.43 1.882 2 2
min_pca 5 0.3 0.7 500 2.57 1.648 2 2
min_pca 10 0.3 0.7 500 3.574 2.379 2 3
min_pca 20 0.3 0.7 500 5.994 3.612 3 5
tpca 0.8 0.3 0.7 500 6.532 89.375 2 2
tpca 0.9 0.3 0.7 500 2.43 1.882 2 2
tpca 0.95 0.3 0.7 500 2.478 1.581 2 2
tpca 0.99 0.3 0.7 500 2.57 1.648 2 2
tpca 0.995 0.3 0.7 500 2.798 1.966 2 2
tpca 0.999 0.3 0.7 500 3.644 2.624 2 3
mix 0.03 0.3 1 500 5.722 0.981 4 6
mix 0.1 0.3 1 500 5.322 0.925 4 5
